Scorpion,Family,Species,Stings,Shelter,Habitat
1,Buthidae,Tityus_pusillus,6,No,Atlantic_Forest
2,Buthidae,Tityus_pusillus,0,No,Atlantic_Forest
3,Buthidae,Tityus_pusillus,5,No,Atlantic_Forest
4,Buthidae,Tityus_pusillus,1,No,Atlantic_Forest
5,Buthidae,Tityus_pusillus,7,No,Atlantic_Forest
6,Buthidae,Tityus_pusillus,0,No,Atlantic_Forest
7,Buthidae,Tityus_pusillus,6,No,Atlantic_Forest
8,Buthidae,Tityus_pusillus,1,No,Atlantic_Forest
9,Buthidae,Tityus_pusillus,0,No,Atlantic_Forest
10,Buthidae,Tityus_pusillus,5,No,Atlantic_Forest
11,Buthidae,Tityus_pusillus,0,No,Atlantic_Forest
12,Buthidae,Tityus_pusillus,8,No,Atlantic_Forest
13,Buthidae,Tityus_pusillus,4,No,Atlantic_Forest
14,Buthidae,Tityus_pusillus,6,No,Atlantic_Forest
15,Buthidae,Tityus_pusillus,0,No,Atlantic_Forest
16,Buthidae,Tityus_pusillus,5,No,Atlantic_Forest
17,Buthidae,Tityus_pusillus,1,No,Atlantic_Forest
18,Buthidae,Tityus_pusillus,7,No,Atlantic_Forest
19,Buthidae,Tityus_pusillus,0,No,Atlantic_Forest
20,Buthidae,Tityus_pusillus,6,No,Atlantic_Forest
21,Buthidae,Tityus_pusillus,1,No,Atlantic_Forest
22,Buthidae,Tityus_pusillus,0,No,Atlantic_Forest
23,Buthidae,Tityus_pusillus,5,No,Atlantic_Forest
24,Buthidae,Tityus_pusillus,0,No,Atlantic_Forest
25,Buthidae,Tityus_pusillus,8,Yes,Atlantic_Forest
26,Buthidae,Tityus_pusillus,4,Yes,Atlantic_Forest
27,Buthidae,Tityus_pusillus,8,Yes,Atlantic_Forest
28,Buthidae,Tityus_pusillus,4,Yes,Atlantic_Forest
29,Buthidae,Tityus_pusillus,NA,NA,Atlantic_Forest
30,Buthidae,Tityus_pusillus,NA,NA,Atlantic_Forest
1,Buthidae,Ananteris_mauryi,2,No,Atlantic_Forest
2,Buthidae,Ananteris_mauryi,1,No,Atlantic_Forest
3,Buthidae,Ananteris_mauryi,4,No,Atlantic_Forest
4,Buthidae,Ananteris_mauryi,2,No,Atlantic_Forest
5,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
6,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
7,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
8,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
9,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
10,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
11,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
12,Buthidae,Ananteris_mauryi,2,No,Atlantic_Forest
13,Buthidae,Ananteris_mauryi,1,No,Atlantic_Forest
14,Buthidae,Ananteris_mauryi,4,No,Atlantic_Forest
15,Buthidae,Ananteris_mauryi,2,No,Atlantic_Forest
16,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
17,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
18,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
19,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
20,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
21,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
22,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
23,Buthidae,Ananteris_mauryi,5,No,Atlantic_Forest
24,Buthidae,Ananteris_mauryi,5,Yes,Atlantic_Forest
25,Buthidae,Ananteris_mauryi,5,Yes,Atlantic_Forest
26,Buthidae,Ananteris_mauryi,5,Yes,Atlantic_Forest
27,Buthidae,Ananteris_mauryi,NA,NA,Atlantic_Forest
28,Buthidae,Ananteris_mauryi,NA,NA,Atlantic_Forest
29,Buthidae,Ananteris_mauryi,NA,NA,Atlantic_Forest
30,Buthidae,Ananteris_mauryi,NA,NA,Atlantic_Forest
1,Buthidae,Jaguajir_rochae,1,Yes,Caatinga
2,Buthidae,Jaguajir_rochae,2,Yes,Caatinga
3,Buthidae,Jaguajir_rochae,3,Yes,Caatinga
4,Buthidae,Jaguajir_rochae,1,Yes,Caatinga
5,Buthidae,Jaguajir_rochae,1,Yes,Caatinga
6,Buthidae,Jaguajir_rochae,3,Yes,Caatinga
7,Buthidae,Jaguajir_rochae,0,Yes,Caatinga
8,Buthidae,Jaguajir_rochae,0,Yes,Caatinga
9,Buthidae,Jaguajir_rochae,0,Yes,Caatinga
10,Buthidae,Jaguajir_rochae,1,Yes,Caatinga
11,Buthidae,Jaguajir_rochae,2,Yes,Caatinga
12,Buthidae,Jaguajir_rochae,4,Yes,Caatinga
13,Buthidae,Jaguajir_rochae,1,Yes,Caatinga
14,Buthidae,Jaguajir_rochae,5,Yes,Caatinga
15,Buthidae,Jaguajir_rochae,1,Yes,Caatinga
16,Buthidae,Jaguajir_rochae,0,Yes,Caatinga
17,Buthidae,Jaguajir_rochae,0,Yes,Caatinga
18,Buthidae,Jaguajir_rochae,0,Yes,Caatinga
19,Buthidae,Jaguajir_rochae,2,Yes,Caatinga
20,Buthidae,Jaguajir_rochae,1,Yes,Caatinga
21,Buthidae,Jaguajir_rochae,3,Yes,Caatinga
22,Buthidae,Jaguajir_rochae,1,Yes,Caatinga
23,Buthidae,Jaguajir_rochae,1,No,Caatinga
24,Buthidae,Jaguajir_rochae,1,No,Caatinga
25,Buthidae,Jaguajir_rochae,0,No,Caatinga
26,Buthidae,Jaguajir_rochae,0,No,Caatinga
27,Buthidae,Jaguajir_rochae,0,No,Caatinga
28,Buthidae,Jaguajir_rochae,2,No,Caatinga
29,Buthidae,Jaguajir_rochae,NA,NA,Caatinga
30,Buthidae,Jaguajir_rochae,NA,NA,Caatinga
1,Bothriuridae,Bothriurus_rochai,5,Yes,Caatinga
2,Bothriuridae,Bothriurus_rochai,2,Yes,Caatinga
3,Bothriuridae,Bothriurus_rochai,1,Yes,Caatinga
4,Bothriuridae,Bothriurus_rochai,1,Yes,Caatinga
5,Bothriuridae,Bothriurus_rochai,5,Yes,Caatinga
6,Bothriuridae,Bothriurus_rochai,2,Yes,Caatinga
7,Bothriuridae,Bothriurus_rochai,1,Yes,Caatinga
8,Bothriuridae,Bothriurus_rochai,1,Yes,Caatinga
9,Bothriuridae,Bothriurus_rochai,5,Yes,Caatinga
10,Bothriuridae,Bothriurus_rochai,2,Yes,Caatinga
11,Bothriuridae,Bothriurus_rochai,1,Yes,Caatinga
12,Bothriuridae,Bothriurus_rochai,1,Yes,Caatinga
13,Bothriuridae,Bothriurus_rochai,5,Yes,Caatinga
14,Bothriuridae,Bothriurus_rochai,2,Yes,Caatinga
15,Bothriuridae,Bothriurus_rochai,1,Yes,Caatinga
16,Bothriuridae,Bothriurus_rochai,1,Yes,Caatinga
17,Bothriuridae,Bothriurus_rochai,5,Yes,Caatinga
18,Bothriuridae,Bothriurus_rochai,2,Yes,Caatinga
19,Bothriuridae,Bothriurus_rochai,1,No,Caatinga
20,Bothriuridae,Bothriurus_rochai,1,No,Caatinga
21,Bothriuridae,Bothriurus_rochai,5,No,Caatinga
22,Bothriuridae,Bothriurus_rochai,2,No,Caatinga
23,Bothriuridae,Bothriurus_rochai,1,No,Caatinga
24,Bothriuridae,Bothriurus_rochai,1,No,Caatinga
25,Bothriuridae,Bothriurus_rochai,1,No,Caatinga
26,Bothriuridae,Bothriurus_rochai,1,No,Caatinga
27,Bothriuridae,Bothriurus_rochai,5,No,Caatinga
28,Bothriuridae,Bothriurus_rochai,2,No,Caatinga
29,Bothriuridae,Bothriurus_rochai,1,No,Caatinga
30,Bothriuridae,Bothriurus_rochai,1,No,Caatinga
